token	pos	sem	stanford-token	stanford-pos
the	AT	Z5	the	DT
next	MD	N4	next	JJ
income	NN1	I1.1	income	NN
report	NN1	Q2.2 X3.2	report	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
reason	NN1	A2.2 X2.1	reason	NN
is	VBZ	A3+ Z5	is	VBZ
that	CST	Z5 Z8	that	IN
March	NP1@	M1 G3 G1.2 T1.3	March	NNP
is	VBZ	A3+ Z5	is	VBZ
the	AT	Z5	the	DT
due	JJ	X2.6+ A5.3+ S6+	due	JJ
month	NNT1	T1.3	month	NN
for	IF	Z5	for	IN
the	AT	Z5	the	DT
fiscal	JJ	I1/G1.1 I1	fiscal	JJ
year	NNT1	P1c[i4.2.1 T1.3 P1c	year	NN
2015	MC	P1c[i4.2.2 N1 T1.2 T3 T1.3 N3.2	2015	CD
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
have	VH0	S6+[i5.2.1 A9+ Z5 A2.2 S4	have	VBP
to	TO	S6+[i5.2.2 Z5	to	TO
do	VDI	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VB
my	APPGE	Z8	my	PRP$
taxes	NN2	I1.1/G1.1	taxes	NNS
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
the	AT	Z5	the	DT
first	MD	N4	first	JJ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
I	PPIS1	Z8mf	I	PRP
will	VM	T1.1.3	will	MD
be	VBI	Z5 A3+	be	VB
doing	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	doing	VBG
it	PPH1	Z8	it	PRP
since	CS	Z5	since	IN
I	PPIS1	Z8mf	I	PRP
have	VH0	Z5 A9+ A2.2 S4	have	VBP
become	VVN@	A2.1+ O4.2+	become	VBN
an	AT1	Z5	an	DT
entrepreneur	NN1	I2.1/S2mf	entrepreneur	NN
so	CS@	Z5	so	IN
you	PPY	Z8mf	you	PRP
can	VM	A7+	can	MD
understand	VVI	X2.5+	understand	VB
why	RRQ	A2.2	why	WRB
I	PPIS1	Z8mf	I	PRP
need	VV0	S6+	need	VBP
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
will	VM	T1.1.3	will	MD
probably	RR	A7+	probably	RB
hire	VVI	I2.2 I3.1	hire	VB
an	AT1	Z5	an	DT
accountant	NN1	I3.2/I1.1/S2mf	accountant	NN
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
still	RR	T2++ Z4 E3+	still	RB
need	VV0	S6+	need	VBP
to	TO	Z5	to	TO
find	VVI	A10+ X2.1 X6+	find	VB
him/her	PPHO1	Z99	him/her	NN
.	.	""	.	.
-----	-----	""	-----	CD
Apart	II21	A1.8-[i6.2.1	Apart	RB
from	II22	A1.8-[i6.2.2 Z5	from	IN
that	DD1	Z8 Z5	that	DT
,	,	""	,	,
now	RT	T1.1.2 Z4	now	RB
I	PPIS1	Z8mf	I	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
a	AT1	Z5	a	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NN
who	PNQS	Z8	who	WP
produces	VVZ	A2.2 A1.1.1 A10+ K4 K3 Q4.3 F4	produces	VBZ
stable	JJ	A2.1- S1.2 O4.1	stable	JJ
results	NN2	A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2	results	NNS
,	,	""	,	,
so	CS@	Z5	so	IN
I	PPIS1	Z8mf	I	PRP
can	VM	A7+	can	MD
finally	RR	N4	finally	RB
execute	VVI	L1- A1.1.1	execute	VB
on	II	Z5	on	IN
my	APPGE	Z8	my	PRP$
big	JJ	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+	big	JJ
plans	NN2	X7+ C1/H1	plans	NNS
for	IF	Z5	for	IN
pushing	VVG	M2 M1 S7.1+ X8+ I2.2 F3 A13.4	pushing	VBG
my	APPGE	Z8	my	PRP$
websites	NN2	Y2	websites	NNS
to	II	Z5	to	TO
the	AT	Z5	the	DT
green	JJ	O4.3 W5 L3 X9.1-	green	JJ
income	NN1	I1.1	income	NN
zone	NN1	M7 W3 T1.1 O4.4	zone	NN
.	.	""	.	.
-----	-----	""	-----	CD
Table	NN1	H5 Q1.2 N2	Table	NNP
of	IO	Z5	of	IN
Contents	NN2	A1.8+ Q2.1	Contents	NNP
What	DDQ	Z8 Z5	What	WDT
Happened	VVD	A2.1+ A3+ X7-	Happened	VBD
In	II	Z5	In	IN
February	NPM1	T1.3	February	NNP
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
Rotation	NN1	M1 M2 A6.3+	Rotation	NNP
Good	NP1@	Z1mf[i7.2.1 Z3c[i7.2.1	Good	JJ
Amazon	NP1	Z1mf[i7.2.2 Z3c[i7.2.2 Z2 M7	Amazon	NNP
Business	NN1	I2.1 A1.1.1 A5.1+++	Business	NNP
Building	NN1	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	Building	NNP
PBN	NP1	Z1mf[i8.2.1 Z3c[i8.2.1	PBN	NNP
Kickfurther	NP1	Z1mf[i8.2.2 Z3c[i8.2.2	Kickfurther	NNP
Expenses	NN2	I1.3	Expenses	NNS
Income	NN1	I1.1	Income	NNP
Totals	VVZ	Z3c	Totals	NNS
Plans	NN2	X7+ C1/H1	Plans	NNS
For	IF	Z5	For	IN
March	NPM1	T1.3	March	NNP
What	DDQ	Z8 Z5	What	WDT
Happened	VVD	A2.1+ A3+ X7-	Happened	VBD
In	II	Z5	In	IN
February	NPM1	T1.3	February	NNP
February	NPM1	T1.3	February	NNP
was	VBDZ	A3+ Z5	was	VBD
a	AT1	Z5	a	DT
very	RG	A13.3	very	RB
busy	JJ	A1.1.1/N5+	busy	JJ
month	NNT1	T1.3	month	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
tried	VVD	X8+ X2.4 Q2.2 G2.1 A12-	tried	VBD
on	II	Z5	on	IN
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
hat	NN1	B5 I3.1@	hat	NN
and	CC	Z5	and	CC
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
like	VVI	E2+	like	IN
it	PPH1	Z8	it	PRP
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
had	VHD	A9+ Z5 A2.2 S4	had	VBD
some	DD	N5 Z5	some	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
(	(	""	(	CD
virtual	JJ	A13.4	virtual	JJ
assistant	NN1	S8+/S2mf I2.2/S2mf	assistant	NN
)	)	""	)	NN
rotation	NN1	M1 M2 A6.3+	rotation	NN
happened	VVD	A2.1+ A3+ X7-	happened	VBD
and	CC	Z5	and	CC
ended	VVD	T2-[i9.2.1 T2-	ended	VBD
up	RP	T2-[i9.2.2	up	RP
working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	working	VBG
with	IW	Z5	with	IN
the	AT	Z5	the	DT
one	PN1	Z8	one	CD
who	PNQS	Z8	who	WP
disappeared	VVD	A10- M1 A3-	disappeared	VBD
in	II	Z5	in	IN
January	NPM1	T1.3	January	NNP
.	.	""	.	.
-----	-----	""	-----	CD
Now	RT	T1.1.2 Z4	Now	RB
lets	VVZ	S7.4+ I2.2/H1 T2-	lets	VBZ
look	NN1	X3.4[i10.2.1 X2.4[i10.2.1 X2.1[i10.2.1 A8 X3.4 X2.4 O4.1	look	NN
at	II	X3.4[i10.2.2 X2.4[i10.2.2 X2.1[i10.2.2 Z5	at	IN
all	DB	N5.1+	all	DT
of	IO	Z5	of	IN
this	DD1	Z8 M6 Z5	this	DT
closer	RRR	N3.3-- A4.2++ S5++ S1.1.3++ A6.1++ E2++ W4	closer	JJR
.	.	""	.	.
-----	-----	""	-----	CD
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
Rotation	NN1	M1 M2 A6.3+	Rotation	NNP
Weird	JJ	A6.2-	Weird	NNP
things	NN2	O2 X4.1 A7- S2mf L2mf	things	NNS
have	VH0	Z5 A9+ A2.2 S4	have	VBP
been	VBN	Z5 A3+	been	VBN
happening	VVG	A2.1+ A3+ X7-	happening	VBG
with	IW	Z5	with	IN
these	DD2	Z5 Z8	these	DT
VAs	NN2	M4fn O2 B1 O4.4 M3c O3 O4.1 H1 S7.1 A4.1 X4.2 A1.1.1 Z5 M6 X6/A7- N2/A7- Q3 Z2 Z1f T3+ Z4 S7.1+ G1.1c Q2.1 T1.2 Z2/S2mf H2 S5+c X2.2 G3/S2mf T3+/S2mf S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VAs	NNS
.	.	""	.	.
-----	-----	""	-----	CD
As	CSA	Z5	As	IN
you	PPY	Z8mf	you	PRP
remember	VV0	X2.2+	remember	VBP
,	,	""	,	,
in	II	Z5	in	IN
January	NPM1	T1.3	January	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
hired	VVD	I2.2 I3.1	hired	VBD
my	APPGE	Z8	my	PRP$
very	RG	A13.3	very	RB
first	MD	N4	first	JJ
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
.	.	""	.	.
-----	-----	""	-----	CD
Lets	VVZ	S7.4+ I2.2/H1 T2-	Lets	VBZ
call	VVI	Q2.2 S1.1.1 Q1.3 S9%	call	VB
her	APPGE	Z8f	her	PRP
Claire	NP1	Z1f	Claire	NNP
(	(	""	(	NNP
yes	UH	Z4	yes	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
watching	VVG	X3.4 S7.1 X2.4 A1.3+	watching	VBG
the	AT	Z5	the	DT
4th	MD	N4	4th	JJ
season	NNT1	T1.3	season	NN
of	IO	Z5	of	IN
House	NN1	H1 P1/S5+c G1.1c	House	NNP
Of	IO	Z5	Of	IN
Cards	NN2	Q1.2 O1.1 I1.1/O2/Q1.1 K5.2 B5	Cards	NNP
)	)	""	)	NN
.	.	""	.	.
-----	-----	""	-----	CD
However	RR	Z4	However	RB
,	,	""	,	,
the	AT	Z5	the	DT
girl	NN1	S2.1f L2f@	girl	NN
stayed	VVD	M8 T2++ H4	stayed	VBD
only	RR	A14	only	RB
for	IF	Z5	for	IN
2.5	MC	N1 T1.2 T3 T1.3 N3.2	2.5	CD
weeks	NNT2	T1.3	weeks	NNS
in	II	N5.1+[i11.2.1 Z5	in	IN
total	NN1	N5.1+[i11.2.2 N5.1+	total	NN
.	.	""	.	.
-----	-----	""	-----	CD
When	CS	Z5	When	WRB
Claire	NP1	Z1f	Claire	NNP
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
show	VVI	A10+[i12.2.1 S1.2.3+[i12.2.1 S1.1.3+[i12.2.1 A10+ S1.1.1	show	VB
up	RP	A10+[i12.2.2 S1.2.3+[i12.2.2 S1.1.3+[i12.2.2	up	RP
for	IF	Z5	for	IN
the	AT	Z5	the	DT
third	MD	N4 N5 N1	third	JJ
week	NNT1	T1.3	week	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
fired	VVD	I3.1- G3 M2 A2.2 Q2.2	fired	VBD
her	PPHO1	Z8f	her	PRP
.	.	""	.	.
-----	-----	""	-----	CD
Then	RT	N4 Z5 T1.2	Then	RB
I	PPIS1	Z8mf	I	PRP
hired	VVD	I2.2 I3.1	hired	VBD
another	DD1	A6.1- N5++	another	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
(	(	""	(	NNP
Cecile	NP1	Z99	Cecile	NNP
)	)	""	)	NNP
who	PNQS	Z8	who	WP
also	RR	N5++	also	RB
could	VM	A7+	could	MD
not	XX	Z6	not	RB
keep	VVI	T2++[i13.3.1 X2.5+[i13.3.1 X9.2+[i13.3.1 A9+ N6+ T2++ A1.7+ A2.2 F4 S8+ H4 T2++[i14.2.1 S7.3+[i14.2.1 N5+[i14.2.1	keep	VB
up	RP	T2++[i13.3.2 X2.5+[i13.3.2 X9.2+[i13.3.2 T2++[i14.2.2 S7.3+[i14.2.2 N5+[i14.2.2	up	RP
with	IW	T2++[i13.3.3 X2.5+[i13.3.3 X9.2+[i13.3.3 Z5	with	IN
the	AT	Z5	the	DT
number	NN1	N5 N1 Q1.3 K2 Q4.2	number	NN
of	IO	Z5	of	IN
hours	NNT2	T1.3	hours	NNS
I	PPIS1	Z8mf	I	PRP
assigned	VVD@	A9- S7.1+	assigned	VBD
to	II	Z5	to	TO
her	PPHO1	Z8f	her	PRP$
!	!	""	!	.
-----	-----	""	-----	CD
Instead	II21	A6.1-[i15.2.1	Instead	RB
of	II22	A6.1-[i15.2.2	of	IN
doing	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	doing	VBG
my	APPGE	Z8	my	PRP$
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
,	,	""	,	,
Cecile	NP1	Z99	Cecile	NNP
was	VBDZ	A3+ Z5	was	VBD
busy	JJ	A1.1.1/N5+	busy	JJ
working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	working	VBG
for	IF	Z5	for	IN
another	DD1	A6.1- N5++	another	DT
client	NN1	I2.2/S2mf	client	NN
.	.	""	.	.
-----	-----	""	-----	CD
You	PPY	Z8mf	You	PRP
can	VM	A7+	can	MD
imagine	VVI	X2.1 A5.2-	imagine	VB
how	RRQ	Z5 A13.3	how	WRB
upset	VV0	E4.1- A2.1+ M2	upset	JJ
it	PPH1	Z8	it	PRP
made	VVD	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	made	VBD
me	PPIO1	Z8mf	me	PRP
.	.	""	.	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
she	PPHS1	Z8f	she	PRP
was	VBDZ	A3+ Z5	was	VBD
a	AT1	Z5	a	DT
native	JJ	M7 A6.2+	native	JJ
English	JJ	Z1mf	English	NNP
speaker	NN1	Q2.1/S2mf G1.1/S2mf O3	speaker	NN
living	VVG	H4 L1+	living	NN
in	II	Z5	in	IN
the	AT	Z5	the	DT
US	NP1	Z8	US	NNP
and	CC	Z5	and	CC
in	RR21	N5++[i16.2.1	in	IN
addition	RR22	N5++[i16.2.2	addition	NN
,	,	""	,	,
she	PPHS1	Z8f	she	PRP
was	VBDZ	Z5 A3+	was	VBD
charging	VVG	I1.3 O3 G2.1 M1 G3%	charging	VBG
as	RG	A13.4[i17.3.1 A13	as	RB
much	DA1	A13.4[i17.3.2 N5+ I1.3+	much	RB
as	CSA	A13.4[i17.3.3 Z5	as	IN
Claire	NP1	Z1f	Claire	NNP
who	PNQS	Z8	who	WP
was	VBDZ	A3+ Z5	was	VBD
from	II	Z5	from	IN
Vietnam	NP1	Z2	Vietnam	NNP
(	(	""	(	CD
$4.5	NNU	N1 T3 T1.2 Z5 S4mf S5+c K2 L2 O2 N5- N3.2- T3- N3.7- N3.3- T1.3- A11.1- A13.7 B1 N5 S2mf C1 O4.4 X2.1 X2.5+	$4.5	CD
/	FO	Z5	/	:
h	ZZ1	Z5	h	NN
)	)	""	)	NN
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	IN
I	PPIS1	Z8mf	I	PRP
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
want	VVI	X7+ S6+ A7+ S3.2 A9-	want	VB
to	TO	Z5	to	TO
lose	VVI	X9.2- A9- M6/A5.3- L1-	lose	VB
her	PPHO1	Z8f	her	PRP
.	.	""	.	.
-----	-----	""	-----	CD
We	PPIS2	Z8	We	PRP
talked	VVD	Q2.1	talked	VBD
and	CC	Z5	and	CC
she	PPHS1	Z8f	she	PRP
committed	VVD@	A1.1.1 X5.2+ A7+ M2	committed	VBD
to	II	Z5	to	TO
giving	VVG	A9- A1.1.1	giving	VBG
me	PPIO1	Z8mf	me	PRP
a	AT1	Z5	a	DT
half	NN1@	N5 N5c N1 A13.4	half	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
I	PPIS1	Z8mf	I	PRP
asked	VVD	Q2.2	asked	VBD
(	(	""	(	CD
7	MC	N1 T1.2 T3 T1.3 N3.2	7	CD
hours	NNT2	T1.3	hours	NNS
/	FO	Z5	/	:
week	NNT1	T1.3	week	NN
instead	II21	A6.1-[i18.2.1	instead	RB
of	II22	A6.1-[i18.2.2	of	IN
15	MC	N1 T1.2 T3 T1.3 N3.2	15	CD
)	)	""	)	CD
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
agreed	VVD	A6.1+ Q2.2	agreed	VBD
.	.	""	.	.
-----	-----	""	-----	CD
Then	RT	N4 Z5 T1.2	Then	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
started	VVD	T2+ E5- E3-	started	VBD
thinking	NN1	X2.1	thinking	VBG
of	IO	Z5	of	IN
hiring	VVG	I2.2 I3.1	hiring	VBG
yet	RR	T1.1.2	yet	RB
another	DD1	A6.1- N5++	another	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
who	PNQS	Z8	who	WP
would	VM	A7+	would	MD
work	VVI	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VB
the	AT	Z5	the	DT
other	JJ	A6.1-	other	JJ
half	NN1@	N5 N5c N1 A13.4	half	NN
(	(	""	(	NN
another	DD1	A6.1- N5++	another	DT
7	MC	N6[i19.4.1 N1 T1.2 T3 T1.3 N3.2	7	CD
hours	NNT2	N6[i19.4.2 T1.3	hours	NNS
a	AT1	N6[i19.4.3 Z5	a	DT
week	NNT1	N6[i19.4.4 T1.3	week	NN
)	)	""	)	NN
.	.	""	.	.
-----	-----	""	-----	CD
My	APPGE	Z8	My	PRP$
plan	NN1	X7+ C1/H1	plan	NN
was	VBDZ	A3+ Z5	was	VBD
to	TO	Z5	to	TO
have	VHI	A9+ Z5 A2.2 S4	have	VB
simultaneously	RR	T1.1.2	simultaneously	RB
2	MC	N1 T1.2 T3 T1.3 N3.2	2	CD
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NN
giving	VVG	A9- A1.1.1	giving	VBG
me	PPIO1	Z8mf	me	PRP
the	AT	Z5	the	DT
needed	VVN	S6+	needed	VBN
amount	NN1	N5	amount	NN
of	IO	Z5	of	IN
hours	NNT2	T1.3	hours	NNS
in	II	N5.1+[i20.2.1 Z5	in	IN
total	NN1	N5.1+[i20.2.2 N5.1+	total	NN
.	.	""	.	.
-----	-----	""	-----	CD
Sounded	VVN	X3.2 Q2.2 A8 N3.1%	Sounded	VBN
complicated	JJ	A12-	complicated	JJ
but	CCB	Z5	but	CC
I	PPIS1	Z8mf	I	PRP
needed	VVD	S6+	needed	VBD
my	APPGE	Z8	my	PRP$
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
to	TO	Z5	to	TO
move	VVI	M2 M1 A2.1+ E1 H4/A2.1	move	VB
.	.	""	.	.
-----	-----	""	-----	CD
And	CC	Z5	And	CC
at	II	T1.1.2[i21.3.1 Z5	at	IN
this	DD1	T1.1.2[i21.3.2 M6 Z5 Z8	this	DT
exact	JJ	A5.3+	exact	JJ
moment	NN1	T1.1.2[i21.3.3 T1.2 T1.1.2 N3	moment	NN
,	,	""	,	,
Claire	NP1	Z1f	Claire	NNP
who	PNQS	Z8	who	WP
I	PPIS1	Z8mf	I	PRP
fired	VVD	I3.1- G3 M2 A2.2 Q2.2	fired	VBD
in	II	Z5	in	IN
January	NPM1	T1.3	January	NNP
showed	VVD	A10+[i22.2.1 S1.2.3+[i22.2.1 S1.1.3+[i22.2.1 A10+ S1.1.1	showed	VBD
up	RP	A10+[i22.2.2 S1.2.3+[i22.2.2 S1.1.3+[i22.2.2	up	RP
.	.	""	.	.
-----	-----	""	-----	CD
Turned	VVN	A1.1.1[i23.2.1 A8[i23.2.1 N5+/S1.1.3[i23.2.1 M1[i23.2.1 M2[i23.2.1 M2 M1 O4.4 A1.1.1 A2.1+ O4.2-	Turned	VBN
out	RP	A1.1.1[i23.2.2 A8[i23.2.2 N5+/S1.1.3[i23.2.2 M1[i23.2.2 M2[i23.2.2 M6	out	RP
,	,	""	,	,
she	PPHS1	Z8f	she	PRP
got	VVD	M1 A9+ Z5 X9.2+ A2.1+ A2.2 M2 X2.5+ E4.1-	got	VBD
into	II	Z5	into	IN
a	AT1	Z5	a	DT
motorbike	NN1	A1.4/M3[i24.2.1 M3fn	motorbike	NN
accident	NN1	A1.4/M3[i24.2.2 A1.1.2 A1.4	accident	NN
and	CC	Z5	and	CC
spent	VVD	I1.2 A1.5.1 T1.3	spent	VBD
one	MC1	N1 T3 T1.2	one	CD
month	NNT1	T1.3	month	NN
in	II	Z5	in	IN
the	AT	Z5	the	DT
hospital	NN1	B3/H1c	hospital	NN
.	.	""	.	.
-----	-----	""	-----	CD
Yeah	UH	Z4	Yeah	UH
.	.	""	.	.
-----	-----	""	-----	CD
so	RR	Z5 A13.3	so	IN
I	PPIS1	Z8mf	I	PRP
hired	VVD	I2.2 I3.1	hired	VBD
her	PPHO1	Z8f	her	PRP$
back	RP	M6 N6+ T1.1.1 S1.1.2+	back	NN
for	IF	Z5	for	IN
5	MC	N6[i25.4.1 N1	5	CD
hours	NNT2	N6[i25.4.2 T1.3	hours	NNS
a	AT1	N6[i25.4.3 Z5	a	DT
week	NNT1	N6[i25.4.4 T1.3	week	NN
thinking	VVG	X2.1	thinking	VBG
she	PPHS1	Z8f	she	PRP
will	VM	T1.1.3	will	MD
compliment	VVI	S1.2.4+	compliment	VB
well	RR	A5.1+ A13.3 A7+ B2+ Z4	well	RB
Cecile	JJ	Z99	Cecile	NNP
from	II	Z5	from	IN
the	AT	Z5	the	DT
US	NP1	Z8	US	NNP
.	.	""	.	.
-----	-----	""	-----	CD
While	CS	Z5	While	IN
going	VVG	M1[i26.2.1 X9.2+[i26.2.1 X2.4[i26.2.1 A1.1.1[i26.2.1 Q2.2[i26.2.1 M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	going	VBG
through	II	M1[i26.2.2 X9.2+[i26.2.2 X2.4[i26.2.2 A1.1.1[i26.2.2 Q2.2[i26.2.2 Z5	through	IN
these	DD2	Z5 Z8	these	DT
arrangements	NN2	Q2.2 S7.1+ O4.1	arrangements	NNS
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
felt	VVD	X2.1 E1 X3	felt	VBD
quite	RG	A13.5 A13.6 A13.2	quite	RB
weird	JJ	A6.2-	weird	JJ
.	.	""	.	.
-----	-----	""	-----	CD
At	II	Z5	At	IN
some	DD	N5 Z5	some	DT
point	NN1	Q2.1 X4.1 A5.1 A1.5.2 M7 T1.2 O4.4 O3 K5	point	NN
,	,	""	,	,
my	APPGE	Z8	my	PRP$
head	NN1	B1 S7.1+/S2mf P1/S2mf X1 M6 A4.1 S2mf F2 H5/M4%	head	NN
was	VBDZ	Z5 A3+	was	VBD
spinning	VVG	M1 M2 B4 C1 B2-	spinning	VBG
;	;	""	;	:
I	PPIS1	Z8mf	I	PRP
