token	pos	sem	stanford-token	stanford-pos
a	AT1	Z5	a	DT
bet	NN1	I1/A1.4	bet	NN
that	CST	Z8 Z5	that	WDT
turned	VVD	A1.1.1[i1.2.1 A8[i1.2.1 N5+/S1.1.3[i1.2.1 M1[i1.2.1 M2[i1.2.1 M2 M1 O4.4 A1.1.1 A2.1+ O4.2- M1[i2.2.1 S1.1.1[i2.2.1 T2+[i2.2.1 A2.1+[i2.2.1	turned	VBD
out	RP	A1.1.1[i1.2.2 A8[i1.2.2 N5+/S1.1.3[i1.2.2 M1[i1.2.2 M2[i1.2.2 M6	out	RP
to	TO	Z5 M1[i2.2.2 S1.1.1[i2.2.2 T2+[i2.2.2 A2.1+[i2.2.2	to	TO
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
sure	JJ	A7+ Z4	sure	JJ
one	PN1	Z8	one	CD
.	.	""	.	.
-----	-----	""	-----	CD
So	RG	T1.1.2[i3.2.1 M6[i3.2.1 N5[i3.2.1 A13.3	So	RB
far	RR	T1.1.2[i3.2.2 M6[i3.2.2 N5[i3.2.2 A13.3 N3.3+ X9.2+	far	RB
,	,	""	,	,
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
looks	VVZ	A6.1+[i4.2.1 A8 X3.4 X2.4 X7+ Z4	looks	VBZ
like	II	A6.1+[i4.2.2 Z5	like	IN
being	VBG	A3+ Z5	being	VBG
an	AT1	Z5	an	DT
awesome	JJ	O4.2+ E5-	awesome	JJ
investment	NN1	I1.1	investment	NN
,	,	""	,	,
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
thought	VVD	X2.1	thought	VBD
it	PPH1	Z8	it	PRP
will	VM	T1.1.3	will	MD
be	VBI	A3+ Z5	be	VB
probably	RR	A7+	probably	RB
interesting	JJ	X5.2+	interesting	JJ
and	CC	Z5	and	CC
useful	JJ	A1.5.2+	useful	JJ
for	IF	Z5	for	IN
you	PPY	Z8mf	you	PRP
to	TO	Z5	to	TO
read	VVI	Q3 Q1.2 X3.2+ X2.5+ P1 A10+	read	VB
about	II	Z5	about	IN
it	PPH1	Z8	it	PRP
!	!	""	!	.
-----	-----	""	-----	CD
Table	NN1	H5 Q1.2 N2	Table	NNP
of	IO	Z5	of	IN
Contents	NN2	A1.8+ Q2.1	Contents	NNP
Growing	VVG	N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4	Growing	VBG
Revenue	NN1	G1.1/I1 I1.1+ Z3c	Revenue	NN
How	RRQ	Z5 A13.3	How	WRB
I	PPIS1	Z8mf	I	PRP
Bought	VVD	I2.2	Bought	VBD
The	AT	Z5	The	DT
Website	NN1	Y2	Website	NNP
What	DDQ	Z8 Z5	What	WP
I	PPIS1	Z8mf	I	PRP
Have	VH0	Z5 A9+ A2.2 S4	Have	VBP
Done	VDN	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	Done	VBN
So	RG	T1.1.2[i5.2.1 M6[i5.2.1 N5[i5.2.1 A13.3	So	IN
Far	RR	T1.1.2[i5.2.2 M6[i5.2.2 N5[i5.2.2 A13.3 N3.3+ X9.2+	Far	JJ
Growing	JJ	N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4	Growing	VBG
Revenue	NN1	G1.1/I1 I1.1+ Z3c	Revenue	NN
In	II	Z5	In	IN
December	NPM1	T1.3	December	NNP
,	,	""	,	,
the	AT	Z5	the	DT
real	JJ	A3+ A5.2+ A5.4+ A13.3	real	JJ
website	NN1	Y2	website	NN
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
exceeded	VVD	N5.2+	exceeded	VBD
the	AT	Z5	the	DT
projected	JJ	A10+ X2.6+	projected	VBN
one	PN1	Z8	one	CD
by	II	Z5	by	IN
50%	NNU	N5	50%	CD
.	.	""	.	.
-----	-----	""	-----	CD
What	DDQ	Z8 Z5	What	WP
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
projected	JJ	A10+ X2.6+	projected	VBN
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
in	II	Z4[i6.3.1 Z5	in	IN
this	DD1	Z4[i6.3.2 M6 Z5 Z8	this	DT
case	NN1	Z4[i6.3.3 A4.1 O2 G2.1 B3 X4.1 Q3	case	NN
?	?	""	?	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
took	VVD	A9+ T1.3 C1 A1.1.1 M2 A2.1+ X2.4 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	took	VBD
the	AT	Z5	the	DT
one	PN1	Z8	one	CD
that	CST	Z8 Z5	that	WDT
was	VBDZ	Z5 A3+	was	VBD
used	VVN	A1.5.1 S7.1+	used	VBN
by	II	Z5	by	IN
the	AT	Z5	the	DT
online	JJ	Y2	online	JJ
broker	NN1	I2.2/S2mf S8+/S2mf	broker	NN
to	TO	Z5	to	TO
figure	VVI	X2.5+[i7.2.1 N2[i7.2.1 X2.1 X2.5+	figure	VB
out	RP	X2.5+[i7.2.2 N2[i7.2.2 M6	out	RP
the	AT	Z5	the	DT
price	NN1	I1.3	price	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
an	AT1	Z5	an	DT
average	JJ	A6.2+ A5.1 N2	average	JJ
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
calculated	VVD	N2 X7+	calculated	VBN
based	VVN	A2.2[i8.2.1 T2+ M6 A2.2	based	VBN
on	II	A2.2[i8.2.2 Z5	on	IN
the	AT	Z5	the	DT
last	MD	T1.1.1[i9.3.1 N4	last	JJ
three	MC	T1.1.1[i9.3.2 N1 T1.2 T3	three	CD
months	NNT2	T1.1.1[i9.3.3 T1.3	months	NNS
before	II	Z5	before	IN
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
was	VBDZ	Z5 A3+	was	VBD
put	VVN	M2 Q2.1 Q2.2 A1.1.1	put	VBN
on	II	I2.2[i10.2.1 Z5	on	IN
sale	NN1	I2.2[i10.2.2 I2.2 I2.2/I1.3-	sale	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
bought	VVD	I2.2	bought	VBD
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
in	II	Z5	in	IN
November	NPM1	T1.3	November	NNP
,	,	""	,	,
so	CS@	Z5	so	IN
the	AT	Z5	the	DT
average	JJ	A6.2+ A5.1 N2	average	JJ
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
was	VBDZ	Z5 A3+	was	VBD
based	VVN	A2.2[i11.2.1 T2+ M6 A2.2	based	VBN
on	II	A2.2[i11.2.2 Z5	on	IN
the	AT	Z5	the	DT
numbers	NN2	N5 N1 Q1.3 K2 Q4.2	numbers	NNS
from	II	Z5	from	IN
August	NPM1	T1.3	August	NNP
,	,	""	,	,
September	NPM1	T1.3	September	NNP
,	,	""	,	,
and	CC	Z5	and	CC
October	NPM1	T1.3	October	NNP
of	IO	Z5	of	IN
the	AT	Z5	the	DT
year	NNT1	P1c[i12.2.1 T1.3 P1c	year	NN
2015	MC	P1c[i12.2.2 N1 T1.2 T3 T1.3 N3.2	2015	CD
.	.	""	.	.
-----	-----	""	-----	CD
For	IF	Z5	For	IN
the	AT	Z5	the	DT
December	NPM1	T1.3	December	NNP
increase	NN1	N5+/A2.1	increase	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
blamed	VVD	Q2.2/G2.2- G2.1	blamed	VBD
the	AT	Z5	the	DT
Christmas	NNT1	S9/T1.3	Christmas	NNP
season	NNT1	T1.3	season	NN
but	CCB	Z5	but	CC
January	NPM1	T1.3	January	NNP
promises	NN2	A7+/Q2.1 X9.1+	promises	VBZ
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
even	RR	A13.1	even	RB
better	RRR	A5.1++ G2.2++ O4.2++	better	RBR
!	!	""	!	.
-----	-----	""	-----	CD
We	PPIS2	Z8	We	PRP
are	VBR	A3+ Z5	are	VBP
in	II	Z5	in	IN
the	AT	Z5	the	DT
middle	NN1	T1.2[i13.4.1 M6 N5 N4 T1.2	middle	NN
of	IO	T1.2[i13.4.2 Z5	of	IN
the	AT	T1.2[i13.4.3 Z5	the	DT
month	NNT1	T1.2[i13.4.4 T1.3	month	NN
,	,	""	,	,
and	CC	Z5	and	CC
the	AT	Z5	the	DT
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
has	VHZ	Z5 A9+ A2.2 S4	has	VBZ
already	RR	T1.1.1	already	RB
exceeded	VVN	N5.2+	exceeded	VBN
the	AT	Z5	the	DT
number	NN1	N5 N1 Q1.3 K2 Q4.2	number	NN
expected	VVN	X2.6+ B1	expected	VBN
for	IF	Z5	for	IN
the	AT	Z5	the	DT
whole	JJ	N5.1+	whole	JJ
month	NNT1	T1.3	month	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
hope	VV0	X2.6+ E4.1+ X9.2+ A5.1+	hope	VBP
that	CST	Z8 Z5	that	IN
by	II	Z5	by	IN
the	AT	Z5	the	DT
end	NN1	T2- M6 O2 X7+ N4	end	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
month	NNT1	T1.3	month	NN
it	PPH1	Z8	it	PRP
will	VM	T1.1.3	will	MD
double	VVI	N5+/A2.1	double	VB
the	AT	Z5	the	DT
expected	JJ	X2.6+	expected	VBN
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
both	RR	Z5	both	DT
surprising	JJ	X2.6- A6.2-	surprising	JJ
and	CC	Z5	and	CC
not	XX	Z6	not	RB
surprising	JJ	X2.6- A6.2-	surprising	JJ
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
expected	VVD	X2.6+ B1	expected	VBD
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
to	TO	Z5	to	TO
have	VHI	A9+ Z5 A2.2 S4	have	VB
some	DD	N5 Z5	some	DT
potential	NN1	A7+ O3	potential	JJ
,	,	""	,	,
but	CCB	Z5	but	CC
I	PPIS1	Z8mf	I	PRP
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
expect	VVI	X2.6+ B1	expect	VB
it	PPH1	Z8	it	PRP
to	TO	Z5	to	TO
grow	VVI	N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4	grow	VB
so	RG	A13.3	so	RB
soon	RR	T1.1.3/N3.8+	soon	RB
so	RG	A13.3	so	RB
much	DA1	N5+ I1.3+	much	JJ
.	.	""	.	.
-----	-----	""	-----	CD
Website	NN1	Y2	Website	NNP
#2	NNU	I1	#2	CD
:	:	""	:	:
Projected	JJ	A10+ X2.6+	Projected	NNP
Revenue	NN1	G1.1/I1 I1.1+ Z3c	Revenue	NNP
vs	II	F2	vs	CC
Real	JJ	A3+ A5.2+ A5.4+ A13.3	Real	NNP
Revenue	NN1	G1.1/I1 I1.1+ Z3c	Revenue	NN
at	II	Z5	at	IN
January	NPM1	T1.3[i14.2.1 T1.3	January	NNP
16	MC	T1.3[i14.2.2 N1 T1.2 T3 T1.3 N3.2	16	CD
,	,	""	,	,
2016	MC	N1 T1.2 T3 T1.3 N3.2	2016	CD
By	II	Z5	By	IN
January	NPM1	T1.3[i15.2.1 T1.3	January	NNP
16	MC	T1.3[i15.2.2 N1 T1.2 T3 T1.3 N3.2	16	CD
,	,	""	,	,
2016	MC	N1 T1.2 T3 T1.3 N3.2	2016	CD
,	,	""	,	,
the	AT	Z5	the	DT
real	JJ	A3+ A5.2+ A5.4+ A13.3	real	JJ
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
has	VHZ	Z5 A9+ A2.2 S4	has	VBZ
already	RR	T1.1.1	already	RB
exceeded	VVN	N5.2+	exceeded	VBN
the	AT	Z5	the	DT
expected	JJ	X2.6+	expected	VBN
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
whole	JJ	N5.1+	whole	JJ
month	NNT1	T1.3	month	NN
of	IO	Z5	of	IN
January	NPM1	T1.3	January	NNP
How	RRQ	Z5 A13.3	How	WRB
I	PPIS1	Z8mf	I	PRP
Bought	VVD	I2.2	Bought	VBD
The	AT	Z5	The	DT
Website	NN1	Y2	Website	NNP
While	CS	Z5	While	IN
I	PPIS1	Z8mf	I	PRP
wrote	VVD	Q1.2 I2.1	wrote	VBD
about	II	Z5	about	IN
my	APPGE	Z8	my	PRP$
first	MD	N4	first	JJ
purchase	NN1	I2.2	purchase	NN
here	RL	M6 T1.1.2 T1.2	here	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
never	RR	T1/Z6	never	RB
wrote	VVD	Q1.2 I2.1	wrote	VBD
a	AT1	Z5	a	DT
post	NN1	Q1.2 O2 I3.1 M6	post	NN
about	II	Z5	about	IN
how	RRQ	Z5 A13.3	how	WRB
the	AT	Z5	the	DT
second	MD	N4	second	JJ
one	PN1	Z8	one	CD
went	VVD	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	went	VBD
.	.	""	.	.
-----	-----	""	-----	CD
In	II	Z5	In	IN
the	AT	Z5	the	DT
beginning	NN1	T2+	beginning	NN
of	IO	Z5	of	IN
November	NPM1	T1.3	November	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
was	VBDZ	Z5 A3+	was	VBD
still	RR	T2++ Z4 E3+	still	RB
thinking	VVG	X2.1	thinking	VBG
of	IO	Z5	of	IN
buying	VVG	I2.2	buying	VBG
yet	RR	T1.1.2	yet	RB
another	DD1	A6.1- N5++	another	DT
website	NN1	Y2	website	NN
to	TO	Z5	to	TO
make	VVI	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	make	VB
my	APPGE	Z8	my	PRP$
investment	NN1	I1.1	investment	NN
portfolio	NN1	I2.1 B5 Q1.2 S7.1+ C1	portfolio	NN
more	RGR	A13.3	more	RBR
complete	JJ	N5.1+ T2- N3.2+	complete	JJ
and	CC	Z5	and	CC
diversified	VVD	A6.3+	diversified	JJ
.	.	""	.	.
-----	-----	""	-----	CD
My	APPGE	Z8	My	PRP$
favorite	JJ	E2+++	favorite	JJ
online	JJ	Y2	online	NN
broker	NN1	I2.2/S2mf S8+/S2mf	broker	NN
and	CC	Z5	and	CC
actually	RR	A5.4+ A14	actually	RB
the	AT	Z5	the	DT
one	PN1	Z8	one	CD
I	PPIS1	Z8mf	I	PRP
have	VH0	Z5 A9+ A2.2 S4	have	VBP
used	VVN	A1.5.1 S7.1+	used	VBN
so	RG	T1.1.2[i16.2.1 M6[i16.2.1 N5[i16.2.1 A13.3	so	RB
far	RR	T1.1.2[i16.2.2 M6[i16.2.2 N5[i16.2.2 A13.3 N3.3+ X9.2+	far	RB
is	VBZ	A3+ Z5	is	VBZ
EmpireFlippers	NP1	Z99	EmpireFlippers	NNP
(	(	""	(	CD
read	VV0	Q3 Q1.2 X3.2+ X2.5+ P1 A10+	read	VBD
about	II	Z5	about	IN
my	APPGE	Z8	my	PRP$
first	MD	N4	first	JJ
experience	NN1	X9.1+ X2.2 X3 I3.2	experience	NN
with	IW	Z5	with	IN
them	PPHO2	Z8mfn	them	PRP
)	)	""	)	RB
,	,	""	,	,
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
also	RR	N5++	also	RB
bought	VVN	I2.2	bought	VBD
this	DD1	M6 Z5 Z8	this	DT
website	NN1	Y2	website	NN
from	II	Z5	from	IN
them	PPHO2	Z8mfn	them	PRP
.	.	""	.	.
-----	-----	""	-----	CD
Every	AT1	N6+[i18.3.1 N5.1+ N6+[i17.2.1	Every	DT
Monday	NPD1	N6+[i18.3.2 T1.3 N6+[i17.2.2 T1.3[i19.2.1	Monday	NNP
morning	NNT1	N6+[i18.3.3 T1.3 T1.3[i19.2.2	morning	NN
around	RG	A13.4	around	IN
10-11	MCMC	N1 T1.2 T3 T1.3 N3.2	10-11	CD
AM	RA@	T1.3	AM	NNP
(	(	""	(	CD
ETS	NP2	Z3	ETS	NN
)	)	""	)	CD
EmpireFlippers	NN2	Z99	EmpireFlippers	NNS
publish	VV0	Q4	publish	VB
a	AT1	Z5	a	DT
bunch	NN1	N5+ S5+c	bunch	NN
of	IO	Z5	of	IN
new	JJ	T3-	new	JJ
websites	NN2	Y2	websites	NNS
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
noticed	VVD	X3.4+ A11.2+ Q2.2 X2.2+ S1.2.4+ G2.1	noticed	VBD
the	AT	Z5	the	DT
pattern	NN1	X4.2 O4.1 O4.3 B5/Q1.2	pattern	NN
a	AT1	T1.1.1[i20.3.1 Z5	a	DT
while	NNT1@	T1.1.1[i20.3.2 T1.3	while	NN
ago	RA	T1.1.1[i20.3.3 T1.1.1	ago	RB
,	,	""	,	,
so	CS21	Z5[i21.2.1 Z5	so	IN
that	CS22	Z5[i21.2.2 Z5 Z8	that	DT
day	NNT1	T1.3	day	NN
I	PPIS1	Z8mf	I	PRP
was	VBDZ	Z5 A3+	was	VBD
eagerly	RR	X5.2+	eagerly	RB
waiting	VVG	T1.3 A3+ A11.1+ S1.1.1%	waiting	VBG
for	IF	Z5	for	IN
new	JJ	T3-	new	JJ
listings	NN2	Q1.2/N4 I2.1	listings	NNS
to	TO	Z5	to	TO
appear	VVI	A8 A10+ A3+ G2.1 K4 Q4	appear	VB
.	.	""	.	.
-----	-----	""	-----	CD
Usually	RR	A6.2+	Usually	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
in	II	Z5	in	IN
the	AT	Z5	the	DT
office	NN1	I2.1/H1c I2.1/H2c S7.1+ I3.1 S9 S8+	office	NN
at	II	Z5	at	IN
this	DD1	M6 Z5 Z8	this	DT
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
work	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VBP
as	II	Z5	as	IN
a	AT1	Z5	a	DT
software	NN1	Y2	software	NN
developer	NN1	H1/S2mf C1/O1.2@@	developer	NN
,	,	""	,	,
and	CC	Z5	and	CC
my	APPGE	Z8	my	PRP$
schedule	NN1	X7+ Q1.2/T1/M3 Q1.2/T1/M4 Q1.2/T1/M5 P1	schedule	NN
is	VBZ	A3+ Z5	is	VBZ
flexible	JJ	O4.5 A2.1+	flexible	JJ
enough	RR	N5+ N6+	enough	RB
to	TO	Z5	to	TO
allow	VVI	S7.4+ S8+ X2.1	allow	VB
me	PPIO1	Z8mf	me	PRP
to	TO	Z5	to	TO
spend	VVI	I1.2 A1.5.1 T1.3	spend	VB
a	AT1	Z5	a	DT
random	JJ	A1.4	random	JJ
couple	NN1	N5+ S4c	couple	NN
of	IO	Z5	of	IN
hours	NNT2	T1.3	hours	NNS
on	II	Z5	on	IN
doing	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	doing	VBG
my	APPGE	Z8	my	PRP$
stuff	NN1	O1 O2	stuff	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
compensate	VV0	S8+	compensate	VBP
it	PPH1	Z8	it	PRP
by	II	Z5	by	IN
working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	working	VBG
during	II	Z5	during	IN
the	AT	Z5	the	DT
lunch	NN1	F1	lunch	NN
or	CC	Z5	or	CC
staying	VVG	M8 T2++ H4	staying	VBG
late	RR	T4- T1.1	late	RB
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
saw	VVD	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ S3.2	saw	VBD
this	DD1	Z8 M6 Z5	this	DT
listing	VVG	Q1.2 N4 M4	listing	VBG
the	AT	Z5	the	DT
price	NN1	I1.3	price	NN
was	VBDZ	A3+ Z5	was	VBD
very	RG	A13.3	very	RB
affordable	JJ	I1.3-	affordable	JJ
$1,997	NNU	Z99	$1,997	CD
with	IW	Z5	with	IN
the	AT	Z5	the	DT
listing	NN1	Q1.2/N4 I2.1	listing	NN
price	NN1	I1.3	price	NN
multiple	NN1	N2	multiple	JJ
20	MC	N1 T1.2 T3 T1.3 N3.2	20	CD
and	CC	Z5	and	CC
the	AT	Z5	the	DT
monetizing	JJ@	Z99	monetizing	VBG
platform	NN1	M3/M7 M4/H1 H5 X7+ Y2	platform	NN
AdSence	NP1	Z99	AdSence	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
told	VVD	Q2.1 S7.1+/Q2.2 X3 A10+	told	VBD
myself	PPX1	Z8mf	myself	PRP
jets	VVZ%	M5	jets	NNS
take	VV0	X2.4[i22.3.1 X3.4[i22.3.1 A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	take	VB
a	AT1	X2.4[i22.3.2 X3.4[i22.3.2 Z5	a	DT
look	NN1	X2.4[i22.3.3 X3.4[i22.3.3 A8 X3.4 X2.4 O4.1	look	NN
and	CC	Z5	and	CC
sent	VVD	M2 A2.2	sent	VBD
a	AT1	Z5	a	DT
request	NN1	Q2.1 Q2.2	request	NN
for	IF	Z5	for	IN
more	DAR	N5++	more	JJR
info	NN1	X2.2+	info	NN
.	.	""	.	.
-----	-----	""	-----	CD
My	APPGE	Z8	My	PRP$
experience	NN1	X9.1+ X2.2 X3 I3.2	experience	NN
taught	VVD	P1	taught	VBD
me	PPIO1	Z8mf	me	PRP
to	TO	Z5	to	TO
always	RR	N6+++	always	RB
do	VDI	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VB
due	JJ	X2.6+ A5.3+ S6+	due	JJ
diligence	NN1	X5.2+	diligence	NN
no	RGQV31	Z6 S8- Z4	no	DT
matter	RGQV32	X4.1 O1 A11.1+	matter	NN
how	RGQV33	Z5 A13.3	how	WRB
attractive	JJ	O4.2+ S3.2	attractive	JJ
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
description	NN1	Q2.2 A4.1	description	NN
looks	VVZ	A8 X3.4 X2.4 X7+ Z4	looks	VBZ
and	CC	Z5	and	CC
how	RGQ@	Z5 A13.3	how	WRB
cheap	JJ	I1.3- O4.2-	cheap	JJ
the	AT	Z5	the	DT
price	NN1	I1.3	price	NN
is	VBZ	A3+ Z5	is	VBZ
.	.	""	.	.
-----	-----	""	-----	CD
In	II	Z5	In	IN
20	MC	N1 T1.2 T3 T1.3 N3.2	20	CD
min	NNU	N3.3 N3.7	min	NN
I	PPIS1	Z8mf	I	PRP
received	VVD	A9+ S5+	received	VBD
a	AT1	Z5	a	DT
response	NN1	Q2.1 S1.1.2+	response	NN
from	II	Z5	from	IN
an	AT1	Z5	an	DT
EmpireFlippres	NP1	Z99	EmpireFlippres	NNP
(	(	""	(	CD
EF	NP1	Z99	EF	NN
)	)	""	)	CD
agent	NN1	I2.1/S2mf G3/S2mf K4/S2mf	agent	NN
with	IW	Z5	with	IN
the	AT	Z5	the	DT
URL	NN1	A6.1+ B5 A9+ W3 A9- M7 A1.8+ N5.1+ X2.2 A5.2+ H4 Q2.2 Q1.2 A1.1.1 Y2	URL	NN
,	,	""	,	,
the	AT	Z5	the	DT
most	RGT	A13.2	most	RBS
valuable	JJ	I1.3+ A1.5.2+	valuable	JJ
piece	NN1	N5.1- O2 Q4 K2 K4 G3@	piece	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
information	NN1	X2.2+	information	NN
,	,	""	,	,
and	CC	Z5	and	CC
some	DD	N5 Z5	some	DT
other	JJ	A6.1-	other	JJ
info	NN1	X2.2+	info	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
put	VV0	M2 Q2.1 Q2.2 A1.1.1	put	VBD
the	AT	Z5	the	DT
URL	NN1	Z2[i23.3.1	URL	NN
on	II	Z2[i23.3.2 Z5	on	IN
SemRush	NP1	Z2[i23.3.3	SemRush	NNP
and	CC	Z5	and	CC
immediately	RR	N3.8+ T1.1.2/A11.1+ N4	immediately	RB
saw	VVD	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ S3.2	saw	VBD
the	AT	Z5	the	DT
keywords	NN2	Q3 Y2	keywords	NNS
,	,	""	,	,
the	AT	Z5	the	DT
competition	NN1	K1 S7.3+	competition	NN
,	,	""	,	,
and	CC	Z5	and	CC
the	AT	Z5	the	DT
traffic	NN1	M3 M4 G2.1-/I2.2 M1 S1.1.2+	traffic	NN
.	.	""	.	.
-----	-----	""	-----	CD
Website	NN1	Y2	Website	NNP
#2	NNU	I1	#2	CD
:	:	""	:	:
