token	pos	sem	stanford-token	stanford-pos
higher	JJR	N3.7++ N5++ A11.1++ S7.1++ A5.1++ T3-- X3.2 G2.2++ E4.1++ I1.3++ O4.2-- O4.6++ S9	higher	JJR
numbers	NN2	N5 N1 Q1.3 K2 Q4.2	numbers	NNS
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
hired	VVD	I2.2 I3.1	hired	VBD
my	APPGE	Z8	my	PRP$
very	RG	A13.3	very	RB
first	MD	N4	first	JJ
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
and	CC	Z5	and	CC
then	RT	N4 Z5 T1.2	then	RB
fired	VVD	I3.1- G3 M2 A2.2 Q2.2	fired	VBD
my	APPGE	Z8	my	PRP$
very	RG	A13.3	very	RB
first	MD	N4	first	JJ
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
:	:	""	:	:
)	)	""	)	CD
The	AT	Z5	The	DT
PBN	NP1	Z99	PBN	NN
building	NN1	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	building	NN
process	NN1	A1.1.1 X4.2	process	NN
stagnated	VVD	A2.1- X5.2- A1.1.2	stagnated	VBD
,	,	""	,	,
but	CCB	Z5	but	CC
blog	VV0	Q2.1 Q1.2 Q1.3 X2.2+	blog	NN
commenting	VVG	Q2.1	commenting	VBG
task	NN1	A1.1.1	task	NN
advanced	VVD	M1 A5.1+/A2.1+ I1.1 T4+ S8+ X2.1	advanced	VBD
.	.	""	.	.
-----	-----	""	-----	CD
Also	RR	N5++	Also	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
decided	VVD	X6+	decided	VBD
to	TO	Z5	to	TO
give	VVI	A9- A1.1.1	give	VB
my	APPGE	Z8	my	PRP$
websites	NN2	Y2	websites	NNS
nicknames	NN2	Q2.2	nicknames	NNS
to	TO	Z5	to	TO
make	VVI	X9.2+[i3.2.1 M1[i3.2.1 A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	make	VB
it	PPH1	X9.2+[i3.2.2 M1[i3.2.2 Z8	it	PRP
easier	JJR	A12++	easier	JJR
to	TO	Z5	to	TO
write	VVI	Q1.2 I2.1	write	VB
about	II	Z5	about	IN
them	PPHO2	Z8mfn	them	PRP
:	:	""	:	:
)	)	""	)	CD
Now	RT	T1.1.2 Z4	Now	RB
lets	VVZ	S7.4+ I2.2/H1 T2-	lets	VBZ
look	NN1	X3.4[i4.2.1 X2.4[i4.2.1 X2.1[i4.2.1 A8 X3.4 X2.4 O4.1	look	NN
at	II	X3.4[i4.2.2 X2.4[i4.2.2 X2.1[i4.2.2 Z5	at	IN
all	DB	N5.1+	all	DT
of	IO	Z5	of	IN
this	DD1	Z8 M6 Z5	this	DT
in	II	Z5	in	IN
details	NN2	A4.2+ S5+c B5	details	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Table	NN1	H5 Q1.2 N2	Table	NNP
of	IO	Z5	of	IN
Contents	NN2	A1.8+ Q2.1	Contents	NNP
What	DDQ	Z8 Z5	What	WDT
Happened	VVD	A2.1+ A3+ X7-	Happened	VBD
In	II	Z5	In	IN
January	NPM1	T1.3	January	NNP
Website	JJ	Y2	Website	NNP
Nicknames	NN2	Q2.2	Nicknames	NNPS
Hiring	VVG	I2.2 I3.1	Hiring	VBG
a	AT1	Z5	a	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
Building	NN1	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	Building	NNP
Backlinks	NN2	Z99	Backlinks	NNP
Adding	VVG	N5+/A2.1 N2 A1.8+	Adding	VBG
More	DAR	Z1mf[i5.2.1 Z3c[i5.2.1 Z3c	More	JJR
Amazon	NN1@	Z1mf[i5.2.2 Z3c[i5.2.2 Z2 M7	Amazon	NNP
Product	NN1	O2 A1.1.1 A2.2 N2%	Product	NNP
Links	NN2	A2.2 S5+ M3 Q1.3 F1 K5.1/M7%	Links	NNP
Kickfurther	VV0	Z99	Kickfurther	NNP
News	NN1	X2.2+/T3- X2.2+/Q4.2 X2.2+/Q4.3	News	NNP
About	II	Z5	About	IN
This	DD1	M6 Z5 Z8	This	DT
Blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	Blog	NNP
Expenses	NN2	I1.3	Expenses	NNS
Income	NN1	I1.1	Income	NNP
Totals	VVZ	Z3c	Totals	NNS
Plans	NN2	X7+ C1/H1	Plans	NNS
For	IF	Z5	For	IN
February	NPM1	T1.3	February	NNP
What	DDQ	Z8 Z5	What	WDT
Happened	VVD	A2.1+ A3+ X7-	Happened	VBD
In	II	Z5	In	IN
January	NPM1	T1.3	January	NNP
Website	JJ	Y2	Website	NNP
Nicknames	NN2	Q2.2	Nicknames	NNPS
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
in	BCL21	Z5[i6.3.1 Z5[i7.2.1	in	IN
order	BCL22	Z5[i6.3.2 Z5[i7.2.2	order	NN
to	TO	Z5[i6.3.3 Z5	to	TO
make	VVI	X9.2+[i8.2.1 M1[i8.2.1 A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	make	VB
it	PPH1	X9.2+[i8.2.2 M1[i8.2.2 Z8	it	PRP
easier	JJR	A12++	easier	JJR
to	TO	Z5	to	TO
write	VVI	Q1.2 I2.1	write	VB
about	II	Z5	about	IN
my	APPGE	Z8	my	PRP$
websites	NN2	Y2	websites	NNS
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
decided	VVD	X6+	decided	VBD
to	TO	Z5	to	TO
give	VVI	A9- A1.1.1	give	VB
them	PPHO2	Z8mfn	them	PRP
nicknames	NN2	Q2.2	nicknames	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Well	RR	A5.1+ A13.3 A7+ B2+ Z4	Well	UH
,	,	""	,	,
in	II	A5.2+[i9.2.1 Z5	in	IN
fact	NN1	A5.2+[i9.2.2 A5.2+ X2.2	fact	NN
,	,	""	,	,
this	DD1	Z8 M6 Z5	this	DT
was	VBDZ	A3+ Z5	was	VBD
an	AT1	Z5	an	DT
idea	NN1	X4.1 X7+	idea	NN
of	IO	Z5	of	IN
my	APPGE	Z8	my	PRP$
boyfriend	NN1	S3.2/S2.2m	boyfriend	NN
Sam	NP1	Z1mf	Sam	NNP
.	.	""	.	.
-----	-----	""	-----	CD
He	PPHS1	Z8m	He	PRP
got	VVD	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-	got	VBD
lost	VVN	X9.2- A9- M6/A5.3- L1-	lost	VBN
in	II	Z5	in	IN
all	DB	N5.1+	all	DT
these	DD2	Z5 Z8	these	DT
URLs	NN2	A6.1+ B5 A9+ W3 A9- M7 A1.8+ N5.1+ X2.2 A5.2+ H4 Q2.2 Q1.2 A1.1.1 Y2	URLs	NNS
and	CC	Z5	and	CC
descriptions	NN2	Q2.2 A4.1	descriptions	NNS
,	,	""	,	,
so	CS@	Z5	so	RB
he	PPHS1	Z8m	he	PRP
suggested	VVD	Q2.2 Q1.1	suggested	VBD
to	TO	Z5	to	TO
simplify	VVI	A12+/A2.1	simplify	VB
it	PPH1	Z8	it	PRP
.	.	""	.	.
-----	-----	""	-----	CD
We	PPIS2	Z8	We	PRP
both	DB2	N5	both	DT
like	VV0	E2+	like	IN
animals	NN2	L2mfn S5+c O2c	animals	NNS
,	,	""	,	,
so	CS@	Z5	so	IN
it	PPH1	Z8	it	PRP
was	VBDZ	A3+ Z5	was	VBD
somehow	RR	X4.2 A13.4	somehow	RB
natural	JJ	A6.2+ A9+ A5.4+ W3 W5 B1 K2	natural	JJ
for	IF	Z5	for	IN
us	PPIO2	Z8	us	PRP
to	TO	Z5	to	TO
come	VVI	X2.1[i10.3.1 A9+[i10.3.1 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2 A1.1.1[i11.2.1 M1[i11.2.1 P1%[i11.2.1	come	VB
up	RP	X2.1[i10.3.2 A9+[i10.3.2 A1.1.1[i11.2.2 M1[i11.2.2 P1%[i11.2.2	up	RP
with	IW	X2.1[i10.3.3 A9+[i10.3.3 Z5	with	IN
animal-related	JJ	Z99	animal-related	JJ
names	NN2	Q2.2	names	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Original	JJ	T3- A5.4+ A6.2-	Original	JJ
names	NN2	Q2.2	names	NNS
were	VBDR	A3+ Z5	were	VBD
slightly	RR	A13.6	slightly	RB
different	JJ	A6.1-	different	JJ
from	II	Z5	from	IN
the	AT	Z5	the	DT
ones	NN2	Z8	ones	NNS
you	PPY	Z4[i12.2.1 Z8mf	you	PRP
see	VV0	Z4[i12.2.2 X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VBP
here	RL	M6 T1.1.2 T1.2	here	RB
,	,	""	,	,
but	CCB	Z5	but	CC
they	PPHS2	Z8mfn	they	PRP
were	VBDR	Z5 A3+	were	VBD
related	VVN	A2.2 S3.1 X2.5+ Q2.1	related	VBN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
changed	VVD	A2.1+ I1 B5	changed	VBD
them	PPHO2	Z8mfn	them	PRP
because	CS	Z5/A2.2	because	IN
I	PPIS1	Z8mf	I	PRP
wanted	VVD	X7+ S6+ A7+ S3.2 A9-	wanted	VBD
to	TO	Z5	to	TO
have	VHI	A9+ Z5 A2.2 S4	have	VB
an	AT1	Z5	an	DT
emoji	NN2	Z99	emoji	NN
for	IF	Z5	for	IN
each	DD1	N5.1+	each	DT
name	NN1	Q2.2	name	NN
and	CC	Z5	and	CC
not	XX	Z6	not	RB
all	DB	N5.1+	all	DT
of	IO	Z5	of	IN
the	AT	Z5	the	DT
original	JJ	T3- A5.4+ A6.2-	original	JJ
ones	NN2	Z8	ones	NNS
had	VHD	A9+ Z5 A2.2 S4	had	VBD
an	AT1	Z5	an	DT
emoji	NN2	Z99	emoji	NN
.	.	""	.	.
-----	-----	""	-----	CD
Here	RL	M6 T1.1.2 T1.2	Here	RB
they	PPHS2	Z8mfn	they	PRP
go	VV0	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	go	VBP
:	:	""	:	:
the	AT	Z5	the	DT
first	MD	N4	first	JJ
acquired	JJ@	A9+	acquired	VBN
website	NN1	Y2	website	NN
:	:	""	:	:
Elephant	NN1	L2mfn	Elephant	NN
the	AT	Z5	the	DT
second	MD	N4	second	JJ
acquired	JJ@	A9+	acquired	VBN
website	NN1	Y2	website	NN
:	:	""	:	:
Horse	NN1	L2mfn	Horse	NNP
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
I	PPIS1	Z8mf	I	PRP
got	VVD	M1 A9+ Z5 X9.2+ A2.1+ A2.2 M2 X2.5+ E4.1-	got	VBD
from	II	Z5	from	IN
HumanProofDesigns	NP1	Z99	HumanProofDesigns	NNPS
:	:	""	:	:
Rat	NN1	L2mfn G2.2-/S2mf Q2.2	Rat	NN
the	AT	Z5	the	DT
website	NN1	Y2	website	NN
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
building	VVG@	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	building	VBG
myself	PPX1	Z8mf	myself	PRP
:	:	""	:	:
Bee	NN1	L2mfn K1/S1.1.3+	Bee	NN
The	AT	Z5	The	DT
choice	NN1	X7+ A6.3+	choice	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
nicknames	NN2	Q2.2	nicknames	NNS
is	VBZ	A3+ Z5	is	VBZ
definitely	RR	A7+++	definitely	RB
a	RR21	A13.6[i13.2.1 A13.7[i13.2.1	a	DT
bit	RR22	A13.6[i13.2.2 A13.7[i13.2.2	bit	NN
bizzare	VV0	Z99	bizzare	JJ
:	:	""	:	:
)	)	""	)	NN
but	CCB	Z5	but	CC
now	RT	T1.1.2 Z4	now	RB
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
much	DA1	N5+ I1.3+	much	RB
more	DAR	N5++	more	RBR
fun	NN1	E4.1+	fun	NN
to	TO	Z5	to	TO
talk	VVI	Q2.1	talk	VB
about	II	Z5	about	IN
my	APPGE	Z8	my	PRP$
websites	NN2	Y2	websites	NNS
:	:	""	:	:
)	)	""	)	CD
)	)	""	)	CD
)	)	""	)	CD
)	)	""	)	CD
Hiring	VVG	I2.2 I3.1	Hiring	VBG
a	AT1	Z5	a	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
in	II	Z5	in	IN
January	NPM1	T1.3	January	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
hired	VVD	I2.2 I3.1	hired	VBD
my	APPGE	Z8	my	PRP$
very	RG	A13.3	very	RB
first	MD	N4	first	JJ
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
.	.	""	.	.
-----	-----	""	-----	CD
However	RR	Z4	However	RB
,	,	""	,	,
the	AT	Z5	the	DT
girl	NN1	S2.1f L2f@	girl	NN
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
stay	VVI	M8 T2++ H4	stay	VB
for	RR21	Z5 A5.1+ S8+ M6	for	IN
long	RR22	T1.3+	long	RB
.	.	""	.	.
-----	-----	""	-----	CD
She	PPHS1	Z8f	She	PRP
was	VBDZ	A3+ Z5	was	VBD
a	AT1	Z5	a	DT
very	RG	A13.3	very	RB
good	JJ	A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+	good	JJ
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NN
,	,	""	,	,
effective	JJ	X9.2+	effective	JJ
and	CC	Z5	and	CC
knowledgeable	JJ	X2.2+	knowledgeable	JJ
but	CCB	Z5	but	CC
unfortunately	RR	A1.4- A5.1- E4.1-	unfortunately	RB
,	,	""	,	,
she	PPHS1	Z8f	she	PRP
was	VBDZ	A3+ Z5	was	VBD
also	RR	N5++	also	RB
a	AT1	Z5	a	DT
very	RG	A13.3	very	RB
busy	JJ	A1.1.1/N5+	busy	JJ
one	PN1	Z8	one	CD
.	.	""	.	.
-----	-----	""	-----	CD
Our	APPGE	Z8	Our	PRP$
contract	NN1	I2.1 G2.1	contract	NN
lasted	VVD	T2++ T1.3	lasted	VBD
for	IF	Z5	for	IN
2.5	MC	N1 T1.2 T3 T1.3 N3.2	2.5	CD
weeks	NNT2	T1.3	weeks	NNS
in	II	N5.1+[i14.2.1 Z5	in	IN
total	NN1	N5.1+[i14.2.2 N5.1+	total	NN
.	.	""	.	.
-----	-----	""	-----	CD
During	II	Z5	During	IN
the	AT	Z5	the	DT
fist	NN1	B1	fist	NN
2	MC	N1 T1.2 T3 T1.3 N3.2	2	CD
weeks	NNT2	T1.3	weeks	NNS
,	,	""	,	,
she	PPHS1	Z8f	she	PRP
worked	VVD	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	worked	VBD
barely	RR	A13.7	barely	RB
50%	NNU	N5	50%	CD
of	IO	Z5	of	IN
the	AT	Z5	the	DT
assigned	JJ%	A9- S7.1+	assigned	VBN
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
,	,	""	,	,
which	DDQ	Z8 Z5	which	WDT
was	VBDZ	A3+ Z5	was	VBD
15	MC	N1 T1.2 T3 T1.3 N3.2	15	CD
hours	NNT2	T1.3	hours	NNS
/	FO	Z5	/	:
week	NNT1	T1.3	week	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
third	MD	N4 N5 N1	third	JJ
week	NNT1	T1.3	week	NN
she	PPHS1	Z8f	she	PRP
never	RR	T1/Z6	never	RB
showed	VVD	A10+[i15.2.1 S1.2.3+[i15.2.1 S1.1.3+[i15.2.1 A10+ S1.1.1	showed	VBD
up	RP	A10+[i15.2.2 S1.2.3+[i15.2.2 S1.1.3+[i15.2.2	up	RP
so	CS@	Z5	so	IN
I	PPIS1	Z8mf	I	PRP
fired	VVD	I3.1- G3 M2 A2.2 Q2.2	fired	VBD
her	PPHO1	Z8f	her	PRP
.	.	""	.	.
-----	-----	""	-----	CD
A	AT1	Z5	A	DT
few	DA2	T1.1.1[i16.3.1 N5-	few	JJ
days	NNT2	T1.1.1[i16.3.2 T1.3 T1.1.1[i17.2.1	days	NNS
ago	RA	T1.1.1[i16.3.3 T1.1.1 T1.1.1[i17.2.2	ago	IN
I	PPIS1	Z8mf	I	PRP
hired	VVD	I2.2 I3.1	hired	VBD
another	DD1	A6.1- N5++	another	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
.	.	""	.	.
-----	-----	""	-----	CD
So	RG	T1.1.2[i18.2.1 M6[i18.2.1 N5[i18.2.1 A13.3	So	RB
far	RR	T1.1.2[i18.2.2 M6[i18.2.2 N5[i18.2.2 A13.3 N3.3+ X9.2+	far	RB
so	RG	A13.3	so	RB
good	JJ	A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+	good	JJ
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
sooo	NN1	Z99	sooo	JJ
amazing	JJ	O4.2+ X2.6- A6.2-	amazing	JJ
to	TO	Z5	to	TO
have	VHI	A9+ Z5 A2.2 S4	have	VB
a	AT1	Z5	a	DT
helper	NN1	S8+/S2mf	helper	NN
!	!	""	!	.
-----	-----	""	-----	CD
Hiring	VVG	I2.2 I3.1	Hiring	VBG
a	AT1	Z5	a	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NN
is	VBZ	A3+ Z5	is	VBZ
the	AT	Z5	the	DT
second	MD	N4	second	JJ
best	RRT	A5.1+++ A13.2 G2.2+++ O4.2+++	best	JJS
cause	VV0	A2.2	cause	NN
to	TO	Z5	to	TO
spend	VVI	I1.2 A1.5.1 T1.3	spend	VB
money	NN1	I1	money	NN
-	-	""	-	:
after	II	Z5	after	IN
hiring	VVG	I2.2 I3.1	hiring	VBG
a	AT1	Z5	a	DT
cleaning	NN1	B4	cleaning	NN
lady	NN1	S2.1f S7.1+/S2.1f	lady	NN
:	:	""	:	:
)	)	""	)	CD
CLICK	VV0	X3.2 Y2 X2.5+ S1.2.1+	CLICK	NN
TO	TO	Z5	TO	TO
TWEET	VVI	O4.1 B2+ A5.1+ A13.2 X3.2 Q2.2 A8 N3.1% X8+ T2+ S1.1.2+ M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1% E3- N5- A12- N3.2- G2.1-/A9+ M2 S2/N5+ I1/A1.7+ S7.1+ M2/O1.2 A9+/S7.1+ F1 F2 O4.6- Z2/S2mf% O2	TWEET	NNP
Now	RT	T1.1.2 Z4	Now	RB
I	PPIS1	Z8mf	I	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
both	RR	Z5	both	DT
Building	VVG@	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	Building	NN
Backlinks	NN2	Z99	Backlinks	NNS
I	PPIS1	Z8mf	I	PRP
continued	VVD	T2++	continued	VBD
building	NN1	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	building	VBG
backlinks	VVZ	Z99	backlinks	NNS
for	IF	Z5	for	IN
the	AT	Z5	the	DT
websites	NN2	Y2	websites	NNS
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
building	VVG@	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	building	VBG
myself	PPX1	Z8mf	myself	PRP
(	(	""	(	VBP
that	DD1	Z8 Z5	that	DT
is	VBZ	A3+ Z5	is	VBZ
for	IF	Z5	for	IN
Rat	NN1	L2mfn G2.2-/S2mf Q2.2	Rat	NN
and	CC	Z5	and	CC
Bee	NN1	L2mfn K1/S1.1.3+	Bee	NN
:	:	""	:	:
)	)	""	)	CD
)	)	""	)	CD
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
PBN	NP1	Z99	PBN	NN
building	NN1	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	building	NN
has	VHZ	Z5 A9+ A2.2 S4	has	VBZ
stagnated	VVN	A2.1- X5.2- A1.1.2	stagnated	VBN
a	RR21	A13.6[i19.2.1 A13.7[i19.2.1	a	DT
bit	RR22	A13.6[i19.2.2 A13.7[i19.2.2	bit	NN
because	CS	Z5/A2.2	because	IN
I	PPIS1	Z8mf	I	PRP
instead	RR	A6.1-	instead	RB
spent	VVD	I1.2 A1.5.1 T1.3	spent	VBD
my	APPGE	Z8	my	PRP$
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
to	TO	Z5	to	TO
find	VVI	A10+ X2.1 X6+	find	VB
and	CC	Z5	and	CC
hire	VVI	I2.2 I3.1	hire	VB
a	AT1	Z5	a	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
first	MD	N4	first	JJ
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
did	VDD	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	did	VBD
a	AT1	Z5	a	DT
bit	NN1	N5- N5.1- O2 Y2	bit	NN
of	IO	Z5	of	IN
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
of	IO	Z5	of	IN
finding	VVG	A10+ X2.1 X6+	finding	VBG
authority	NN1	G1.1c S7.1+ S7.4+ X2.2+	authority	NN
blogs	VVZ	Z1mf	blogs	NNS
to	TO	Z5	to	TO
comment	VVI	Q2.1	comment	VB
on	II	Z5	on	IN
,	,	""	,	,
so	CS@	Z5	so	IN
I	PPIS1	Z8mf	I	PRP
built	VVD	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	built	VBD
some	DD	N5 Z5	some	DT
backlinks	NN2	Z99	backlinks	NNS
through	II	Z5	through	IN
commenting	VVG	Q2.1	commenting	VBG
.	.	""	.	.
-----	-----	""	-----	CD
Also	RR	N5++	Also	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
bought	VVD	I2.2	bought	VBD
a	AT1	Z5	a	DT
PBN	NP1	Z99	PBN	NNP
hosting	VVG	S1.1.1	hosting	VBG
package	NN1	O2 A1.8+ Y2	package	NN
from	II	Z5	from	IN
Easy	JJ	A12+	Easy	NNP
Blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	Blog	NNP
Networks	NN2	S5+ Q4.3 Y2	Networks	NNP
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
new	JJ	T3-	new	JJ
approach	NN1	X4.2 M1 E1 S1.1.1	approach	NN
to	II	Z5	to	TO
hosting	VVG	S1.1.1	hosting	VBG
PBNs	NP1	Z99	PBNs	NNS
,	,	""	,	,
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
